customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,totalcharge_tenure_ratio
7590-VHVEG,1,0,0,0,29.85,29.85,0,29.85
5575-GNVDE,34,1,1,1,56.95,1889.5,0,55.57
3668-QPYBK,2,1,0,1,53.85,108.15,1,54.08
7795-CFOCW,45,0,1,2,42.3,1840.75,0,40.91
9237-HQITU,2,1,0,0,70.7,151.65,1,75.82
9305-CDSKC,8,1,0,0,99.65,820.5,1,102.56
1452-KIOVK,22,1,0,3,89.1,1949.4,0,88.61
6713-OKOMC,10,0,0,1,29.75,301.9,0,30.19
7892-POOKP,28,1,0,0,104.8,3046.05,1,108.79
6388-TABGU,62,1,1,2,56.15,3487.95,0,56.26
9763-GRSKD,13,1,0,1,49.95,587.45,0,45.19
7469-LKBCI,16,1,2,3,18.95,326.8,0,20.42
8091-TTVAX,58,1,1,3,100.35,5681.1,0,97.95
0280-XJGEX,49,1,0,2,103.7,5036.3,1,102.78
5129-JLPIS,25,1,0,0,105.5,2686.05,0,107.44
3655-SNQYZ,69,1,2,3,113.25,7895.15,0,114.42
8191-XWSZG,52,1,1,1,20.65,1022.95,0,19.67
9959-WOFKT,71,1,2,2,106.7,7382.25,0,103.98
4190-MFLUW,10,1,0,3,55.2,528.35,1,52.84
4183-MYFRB,21,1,0,0,90.05,1862.9,0,88.71
8779-QRDMV,1,0,0,0,39.65,39.65,1,39.65
1680-VDCWW,12,1,1,2,19.8,202.25,0,16.85
1066-JKSGK,1,1,0,1,20.15,20.15,1,20.15
3638-WEABW,58,1,2,3,59.9,3505.1,0,60.43
6322-HRPFA,49,1,0,3,59.6,2970.3,0,60.62
6865-JZNKO,30,1,0,2,55.3,1530.6,0,51.02
6467-CHFZW,47,1,0,0,99.35,4749.15,1,101.05
8665-UTDHZ,1,0,0,0,30.2,30.2,1,30.2
5248-YGIJN,72,1,2,3,90.25,6369.45,0,88.46
8773-HHUOZ,17,1,0,1,64.7,1093.1,1,64.3
